epoch,step,train_acc,train_loss,val_acc,val_loss
0,199,0.62890625,1.0339438915252686,,
0,390,,,0.6325551867485046,1.0278706550598145
0,399,0.60546875,1.0722129344940186,,
0,599,0.6171875,1.057269811630249,,
0,781,,,0.6428685784339905,1.0140424966812134
1,799,0.65234375,1.025383472442627,,
1,999,0.6640625,0.9941864013671875,,
1,1172,,,0.6449472308158875,1.0104379653930664
1,1199,0.60546875,1.0492615699768066,,
1,1399,0.66015625,0.9481508731842041,,
1,1563,,,0.6496642231941223,1.0014384984970093
2,1599,0.6328125,1.0258581638336182,,
2,1799,0.6640625,0.9478350877761841,,
2,1954,,,0.6524224281311035,0.9934252500534058
2,1999,0.6640625,1.0085487365722656,,
2,2199,0.70703125,0.908151388168335,,
2,2345,,,0.654780924320221,0.9902991652488708
3,2399,0.66015625,0.9446576237678528,,
3,2599,0.6796875,0.9409258365631104,,
3,2736,,,0.6618564128875732,0.9818879961967468
3,2799,0.6953125,0.9605317711830139,,
3,2999,0.65625,1.004683256149292,,
3,3127,,,0.6564998626708984,0.9853153228759766
4,3199,0.69140625,0.9028035402297974,,
4,3399,0.68359375,0.9366579055786133,,
4,3518,,,0.6680524349212646,0.9701347351074219
4,3599,0.62890625,0.9970616102218628,,
4,3799,0.703125,0.9213574528694153,,
4,3909,,,0.6685721278190613,0.9670014977455139
5,3999,0.69921875,0.9143943190574646,,
5,4199,0.703125,0.9488176107406616,,
5,4300,,,0.6741685271263123,0.9643968343734741
5,4399,0.72265625,0.9391854405403137,,
5,4599,0.7109375,0.9516044855117798,,
5,4691,,,0.6773664951324463,0.9572100639343262
6,4799,0.73046875,0.9032015204429626,,
6,4999,0.6875,0.9276068210601807,,
6,5082,,,0.6831228137016296,0.9519307613372803
6,5199,0.67578125,0.9586677551269531,,
6,5399,0.7734375,0.8731509447097778,,
6,5473,,,0.6775263547897339,0.9563325643539429
7,5599,0.74609375,0.8320127725601196,,
7,5799,0.73046875,0.8718734979629517,,
7,5864,,,0.6854813098907471,0.9577808976173401
7,5999,0.73828125,0.881468653678894,,
7,6199,0.73046875,0.8769298791885376,,
7,6255,,,0.6919171810150146,0.9424914121627808
8,6399,0.7578125,0.8804466724395752,,
8,6599,0.73828125,0.8523877263069153,,
8,6646,,,0.6921570301055908,0.9444999694824219
8,6799,0.66796875,0.905404269695282,,
8,6999,0.70703125,0.9733675718307495,,
8,7037,,,0.6973936557769775,0.9384140372276306
9,7199,0.75,0.8382129669189453,,
9,7399,0.77734375,0.7795287370681763,,
9,7428,,,0.6982331275939941,0.9452207088470459
9,7599,0.734375,0.865776777267456,,
9,7799,0.76171875,0.846696138381958,,
9,7819,,,0.6973137259483337,0.9454817175865173
10,7999,0.80859375,0.793964147567749,,
10,8199,0.75,0.8619239926338196,,
10,8210,,,0.702630341053009,0.9451051354408264
10,8399,0.765625,0.8582214117050171,,
10,8599,0.7578125,0.7919715642929077,,
10,8601,,,0.706787645816803,0.9384972453117371
11,8799,0.81640625,0.7366412878036499,,
11,8992,,,0.705468475818634,0.9488340020179749
11,8999,0.8203125,0.7559598684310913,,
11,9199,0.78125,0.8205317258834839,,
11,9383,,,0.7025903463363647,0.9466177821159363
12,9399,0.78515625,0.7210903167724609,,
12,9599,0.80859375,0.7300542593002319,,
12,9774,,,0.707787036895752,0.9559766054153442
12,9799,0.8125,0.747508704662323,,
12,9999,0.8046875,0.7234294414520264,,
12,10165,,,0.7116245627403259,0.9447569847106934
13,10199,0.8203125,0.7176004648208618,,
13,10399,0.83203125,0.718135416507721,,
